antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,length
frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),"frozenset({'Replace', 'Voltage Sensor'})",0.3076923076923077,0.23076923076923078,0.15384615384615385,0.5,2.1666666666666665,0.08284023668639054,1.5384615384615383,2
"frozenset({'Faulty', 'Replace', 'Voltage Sensor'})",frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),0.23076923076923078,0.3076923076923077,0.15384615384615385,0.6666666666666666,2.1666666666666665,0.08284023668639054,2.0769230769230766,1
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Faulty', 'Replace'})",frozenset({'Voltage Sensor'}),0.3076923076923077,0.23076923076923078,0.15384615384615385,0.5,2.1666666666666665,0.08284023668639054,1.5384615384615383,1
frozenset({'Summary Status of Drive Control Unit  - Minor Fault'}),frozenset({'DCU'}),0.23076923076923078,0.3076923076923077,0.15384615384615385,0.6666666666666666,2.1666666666666665,0.08284023668639054,2.0769230769230766,1
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Faulty'})",frozenset({'Voltage Sensor'}),0.3076923076923077,0.23076923076923078,0.15384615384615385,0.5,2.1666666666666665,0.08284023668639054,1.5384615384615383,1
frozenset({'DCU'}),frozenset({'Summary Status of Drive Control Unit  - Minor Fault'}),0.3076923076923077,0.23076923076923078,0.15384615384615385,0.5,2.1666666666666665,0.08284023668639054,1.5384615384615383,1
"frozenset({'Faulty', 'Voltage Sensor'})",frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),0.23076923076923078,0.3076923076923077,0.15384615384615385,0.6666666666666666,2.1666666666666665,0.08284023668639054,2.0769230769230766,1
frozenset({'Voltage Sensor'}),"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Faulty'})",0.23076923076923078,0.3076923076923077,0.15384615384615385,0.6666666666666666,2.1666666666666665,0.08284023668639054,2.0769230769230766,2
frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),"frozenset({'Faulty', 'Voltage Sensor'})",0.3076923076923077,0.23076923076923078,0.15384615384615385,0.5,2.1666666666666665,0.08284023668639054,1.5384615384615383,2
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Replace', 'Voltage Sensor'})",frozenset({'Faulty'}),0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,1
"frozenset({'Replace', 'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",frozenset({'Faulty'}),0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,1
"frozenset({'Bogie 2 internal power failure 6V or +/- 15V', 'DCU', 'Replace'})",frozenset({'Faulty'}),0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,1
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Voltage Sensor'})","frozenset({'Faulty', 'Replace'})",0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,2
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Voltage Sensor'})",frozenset({'Faulty'}),0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,1
"frozenset({'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",frozenset({'Faulty'}),0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,1
frozenset({'Faulty'}),"frozenset({'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,1
"frozenset({'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})","frozenset({'Faulty', 'Replace'})",0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,2
frozenset({'Faulty'}),"frozenset({'Replace', 'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,2
frozenset({'Faulty'}),"frozenset({'Bogie 2 internal power failure 6V or +/- 15V', 'DCU', 'Replace'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,3
"frozenset({'Bogie 2 internal power failure 6V or +/- 15V', 'Replace'})",frozenset({'Faulty'}),0.15384615384615385,0.5384615384615384,0.15384615384615385,1.0,1.8571428571428572,0.07100591715976332,inf,1
frozenset({'Replace'}),frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),0.7692307692307693,0.3076923076923077,0.3076923076923077,0.4,1.3,0.07100591715976332,1.153846153846154,1
"frozenset({'Faulty', 'Replace'})","frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Voltage Sensor'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,2
"frozenset({'Faulty', 'Replace'})","frozenset({'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,1
frozenset({'Faulty'}),"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Replace', 'Voltage Sensor'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,3
frozenset({'Replace'}),"frozenset({'Faulty', 'Summary Status of Drive Control Unit  - Major Fault'})",0.7692307692307693,0.3076923076923077,0.3076923076923077,0.4,1.3,0.07100591715976332,1.153846153846154,2
frozenset({'Summary Status of Drive Control Unit  - Major Fault'}),frozenset({'Replace'}),0.3076923076923077,0.7692307692307693,0.3076923076923077,1.0,1.2999999999999998,0.07100591715976332,inf,1
frozenset({'Faulty'}),"frozenset({'Bogie 2 internal power failure 6V or +/- 15V', 'Replace'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,2
frozenset({'Faulty'}),"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Voltage Sensor'})",0.5384615384615384,0.15384615384615385,0.15384615384615385,0.28571428571428575,1.8571428571428572,0.07100591715976332,1.1846153846153848,2
"frozenset({'Faulty', 'Summary Status of Drive Control Unit  - Major Fault'})",frozenset({'Replace'}),0.3076923076923077,0.7692307692307693,0.3076923076923077,1.0,1.2999999999999998,0.07100591715976332,inf,1
frozenset({'DCU'}),"frozenset({'Faulty', 'Replace'})",0.3076923076923077,0.5384615384615384,0.23076923076923078,0.75,1.392857142857143,0.0650887573964497,1.8461538461538463,2
"frozenset({'Faulty', 'Replace'})",frozenset({'DCU'}),0.5384615384615384,0.3076923076923077,0.23076923076923078,0.4285714285714286,1.3928571428571428,0.0650887573964497,1.2115384615384617,1
frozenset({'DCU'}),frozenset({'Faulty'}),0.3076923076923077,0.5384615384615384,0.23076923076923078,0.75,1.392857142857143,0.0650887573964497,1.8461538461538463,1
frozenset({'Faulty'}),frozenset({'DCU'}),0.5384615384615384,0.3076923076923077,0.23076923076923078,0.4285714285714286,1.3928571428571428,0.0650887573964497,1.2115384615384617,1
"frozenset({'Faulty', 'Voltage Sensor'})",frozenset({'Replace'}),0.23076923076923078,0.7692307692307693,0.23076923076923078,1.0,1.2999999999999998,0.05325443786982248,inf,1
"frozenset({'Faulty', 'DCU'})",frozenset({'Replace'}),0.23076923076923078,0.7692307692307693,0.23076923076923078,1.0,1.2999999999999998,0.05325443786982248,inf,1
frozenset({'Dislodged'}),frozenset({'Replace'}),0.23076923076923078,0.7692307692307693,0.23076923076923078,1.0,1.2999999999999998,0.05325443786982248,inf,1
frozenset({'Replace'}),frozenset({'Dislodged'}),0.7692307692307693,0.23076923076923078,0.23076923076923078,0.3,1.2999999999999998,0.05325443786982248,1.0989010989010988,1
"frozenset({'NA', 'Dislodged'})",frozenset({'Replace'}),0.23076923076923078,0.7692307692307693,0.23076923076923078,1.0,1.2999999999999998,0.05325443786982248,inf,1
frozenset({'Replace'}),"frozenset({'Faulty', 'DCU'})",0.7692307692307693,0.23076923076923078,0.23076923076923078,0.3,1.2999999999999998,0.05325443786982248,1.0989010989010988,2
frozenset({'Replace'}),"frozenset({'NA', 'Dislodged'})",0.7692307692307693,0.23076923076923078,0.23076923076923078,0.3,1.2999999999999998,0.05325443786982248,1.0989010989010988,2
frozenset({'Replace'}),"frozenset({'Faulty', 'Voltage Sensor'})",0.7692307692307693,0.23076923076923078,0.23076923076923078,0.3,1.2999999999999998,0.05325443786982248,1.0989010989010988,2
frozenset({'Replace'}),frozenset({'Voltage Sensor'}),0.7692307692307693,0.23076923076923078,0.23076923076923078,0.3,1.2999999999999998,0.05325443786982248,1.0989010989010988,1
frozenset({'Voltage Sensor'}),frozenset({'Replace'}),0.23076923076923078,0.7692307692307693,0.23076923076923078,1.0,1.2999999999999998,0.05325443786982248,inf,1
frozenset({'Replace'}),"frozenset({'Faulty', 'Bogie 2 internal power failure 6V or +/- 15V'})",0.7692307692307693,0.15384615384615385,0.15384615384615385,0.2,1.3,0.03550295857988166,1.0576923076923077,2
frozenset({'Replace'}),"frozenset({'Faulty', 'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})",0.7692307692307693,0.15384615384615385,0.15384615384615385,0.2,1.3,0.03550295857988166,1.0576923076923077,3
"frozenset({'Faulty', 'Bogie 2 internal power failure 6V or +/- 15V'})",frozenset({'Replace'}),0.15384615384615385,0.7692307692307693,0.15384615384615385,1.0,1.2999999999999998,0.03550295857988166,inf,1
"frozenset({'Faulty', 'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})",frozenset({'Replace'}),0.15384615384615385,0.7692307692307693,0.15384615384615385,1.0,1.2999999999999998,0.03550295857988166,inf,1
frozenset({'Replace'}),"frozenset({'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",0.7692307692307693,0.15384615384615385,0.15384615384615385,0.2,1.3,0.03550295857988166,1.0576923076923077,1
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Faulty', 'Voltage Sensor'})",frozenset({'Replace'}),0.15384615384615385,0.7692307692307693,0.15384615384615385,1.0,1.2999999999999998,0.03550295857988166,inf,1
frozenset({'Replace'}),"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Faulty', 'Voltage Sensor'})",0.7692307692307693,0.15384615384615385,0.15384615384615385,0.2,1.3,0.03550295857988166,1.0576923076923077,3
"frozenset({'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",frozenset({'Replace'}),0.15384615384615385,0.7692307692307693,0.15384615384615385,1.0,1.2999999999999998,0.03550295857988166,inf,1
"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Voltage Sensor'})",frozenset({'Replace'}),0.15384615384615385,0.7692307692307693,0.15384615384615385,1.0,1.2999999999999998,0.03550295857988166,inf,1
frozenset({'Replace'}),"frozenset({'Faulty', 'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",0.7692307692307693,0.15384615384615385,0.15384615384615385,0.2,1.3,0.03550295857988166,1.0576923076923077,2
"frozenset({'Faulty', 'bogie 2 plausibilty UDC failure, Bogie 2 MCU trigger from DSP/FPGA PrSd fault'})",frozenset({'Replace'}),0.15384615384615385,0.7692307692307693,0.15384615384615385,1.0,1.2999999999999998,0.03550295857988166,inf,1
frozenset({'Replace'}),"frozenset({'Summary Status of Drive Control Unit  - Major Fault', 'Voltage Sensor'})",0.7692307692307693,0.15384615384615385,0.15384615384615385,0.2,1.3,0.03550295857988166,1.0576923076923077,2
"frozenset({'Faulty', 'Replace'})","frozenset({'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})",0.5384615384615384,0.23076923076923078,0.15384615384615385,0.28571428571428575,1.2380952380952381,0.02958579881656806,1.0769230769230769,2
frozenset({'Faulty'}),"frozenset({'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})",0.5384615384615384,0.23076923076923078,0.15384615384615385,0.28571428571428575,1.2380952380952381,0.02958579881656806,1.0769230769230769,2
"frozenset({'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})",frozenset({'Faulty'}),0.23076923076923078,0.5384615384615384,0.15384615384615385,0.6666666666666666,1.2380952380952381,0.02958579881656806,1.3846153846153846,1
frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),"frozenset({'Faulty', 'Replace'})",0.23076923076923078,0.5384615384615384,0.15384615384615385,0.6666666666666666,1.2380952380952381,0.02958579881656806,1.3846153846153846,2
"frozenset({'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})","frozenset({'Faulty', 'Replace'})",0.23076923076923078,0.5384615384615384,0.15384615384615385,0.6666666666666666,1.2380952380952381,0.02958579881656806,1.3846153846153846,2
"frozenset({'Faulty', 'Replace'})",frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),0.5384615384615384,0.23076923076923078,0.15384615384615385,0.28571428571428575,1.2380952380952381,0.02958579881656806,1.0769230769230769,1
frozenset({'Faulty'}),frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),0.5384615384615384,0.23076923076923078,0.15384615384615385,0.28571428571428575,1.2380952380952381,0.02958579881656806,1.0769230769230769,1
frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),frozenset({'Faulty'}),0.23076923076923078,0.5384615384615384,0.15384615384615385,0.6666666666666666,1.2380952380952381,0.02958579881656806,1.3846153846153846,1
frozenset({'Replace'}),frozenset({'NA'}),0.7692307692307693,0.38461538461538464,0.3076923076923077,0.4,1.04,0.011834319526627224,1.0256410256410258,1
frozenset({'NA'}),frozenset({'Replace'}),0.38461538461538464,0.7692307692307693,0.3076923076923077,0.8,1.04,0.011834319526627224,1.153846153846154,1
frozenset({'DCU'}),frozenset({'Replace'}),0.3076923076923077,0.7692307692307693,0.23076923076923078,0.75,0.975,-0.005917159763313612,0.9230769230769229,1
frozenset({'Replace'}),frozenset({'DCU'}),0.7692307692307693,0.3076923076923077,0.23076923076923078,0.3,0.9749999999999999,-0.005917159763313612,0.989010989010989,1
frozenset({'Replace'}),"frozenset({'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})",0.7692307692307693,0.23076923076923078,0.15384615384615385,0.2,0.8666666666666667,-0.023668639053254448,0.9615384615384615,2
"frozenset({'DCU', 'Bogie 2 internal power failure 6V or +/- 15V'})",frozenset({'Replace'}),0.23076923076923078,0.7692307692307693,0.15384615384615385,0.6666666666666666,0.8666666666666666,-0.023668639053254448,0.6923076923076921,1
frozenset({'Replace'}),frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),0.7692307692307693,0.23076923076923078,0.15384615384615385,0.2,0.8666666666666667,-0.023668639053254448,0.9615384615384615,1
frozenset({'Bogie 2 internal power failure 6V or +/- 15V'}),frozenset({'Replace'}),0.23076923076923078,0.7692307692307693,0.15384615384615385,0.6666666666666666,0.8666666666666666,-0.023668639053254448,0.6923076923076921,1
